iso3,country,rca_2024,reporters_2024,rca_2023,reporters_2023,archetype_2024,stable
DOM,Dominican Republic,1.0365,136,1.3894,163,Specialized exporter (RCA>=1),yes
GTM,Guatemala,0.7184,136,0.7646,163,Export-oriented formulator (RCA>=0.45),yes
SLV,El Salvador,0.6960,136,0.7698,163,Export-oriented formulator (RCA>=0.45),yes
CRI,Costa Rica,0.5696,136,0.6239,163,Export-oriented formulator (RCA>=0.45),yes
URY,Uruguay,0.4834,136,0.5189,163,Export-oriented formulator (RCA>=0.45),yes
ARG,Argentina,0.2718,136,0.3757,163,Large domestic market (RCA<0.45),yes
# Robustness: RCA (Balassa, HS30) recomputed on 2024 (base year, 136 reporters in the
# world denominator) and 2023 (163 reporters, near-complete). World totals from the
# comtrade-pharma MCP (sum of all reporters; the MCP flags <150 reporters as an
# incomplete vintage). All archetypes are unchanged across both years.
