year,scenario,central,low,high
2024,Status quo,94.0,86.48,100
2025,Status quo,94.19,86.65,100
2026,Status quo,94.38,86.83,100
2027,Status quo,94.57,87.0,100
2028,Status quo,94.75,87.17,100
2029,Status quo,94.94,87.35,100
2030,Status quo,95.13,87.52,100
2031,Status quo,95.32,87.7,100
2032,Status quo,95.51,87.87,100
2033,Status quo,95.71,88.05,100
2034,Status quo,95.9,88.23,100
2035,Status quo,96.09,88.4,100
2024,Subregional blocs,94.0,86.48,100
2025,Subregional blocs,92.31,84.92,99.69
2026,Subregional blocs,90.65,83.39,97.9
2027,Subregional blocs,89.01,81.89,96.14
2028,Subregional blocs,87.41,80.42,94.41
2029,Subregional blocs,85.84,78.97,92.71
2030,Subregional blocs,84.29,77.55,91.04
2031,Subregional blocs,82.78,76.15,89.4
2032,Subregional blocs,81.29,74.78,87.79
2033,Subregional blocs,79.82,73.44,86.21
2034,Subregional blocs,78.39,72.12,84.66
2035,Subregional blocs,76.98,70.82,83.13
2024,Full regional integration,94.0,86.48,100
2025,Full regional integration,90.71,83.45,97.97
2026,Full regional integration,87.54,80.53,94.54
2027,Full regional integration,84.47,77.71,91.23
2028,Full regional integration,81.51,74.99,88.04
2029,Full regional integration,78.66,72.37,84.95
2030,Full regional integration,75.91,69.84,81.98
2031,Full regional integration,73.25,67.39,79.11
2032,Full regional integration,70.69,65.03,76.34
2033,Full regional integration,68.21,62.76,73.67
2034,Full regional integration,65.83,60.56,71.09
2035,Full regional integration,63.52,58.44,68.6
