Country,Archetype,Imports US$m,RCA
Cuba,Data-opaque / non-reporter,,
Haiti,Data-opaque / non-reporter,,
Venezuela,Data-opaque / non-reporter,,
Saint Lucia,Data-opaque / non-reporter,,
Saint Kitts and Nevis,Data-opaque / non-reporter,,
Dominican Republic,Specialized exporter (free-zone hub),1013.1,1.0365
Costa Rica,Export-oriented formulator,1122.1,0.5696
Guatemala,Export-oriented formulator,1120.4,0.7184
El Salvador,Export-oriented formulator,646.2,0.696
Uruguay,Export-oriented formulator,426.4,0.4834
Brazil,"Large domestic market (net importer, low export edge)",12587.9,0.0902
Mexico,"Large domestic market (net importer, low export edge)",8816.9,0.1107
Colombia,"Large domestic market (net importer, low export edge)",3855.6,0.2
Argentina,"Large domestic market (net importer, low export edge)",2486.9,0.2718
Chile,"Large domestic market (net importer, low export edge)",2351.2,0.0454
Ecuador,Mid-market importer,1189.4,
Peru,Mid-market importer,1143.1,0.0333
Panama,Mid-market importer,824.6,
Honduras,Mid-market importer,757.1,
Nicaragua,Mid-market importer,550.9,
Paraguay,Mid-market importer,462.4,
Bolivia,Mid-market importer,253.9,
Jamaica,Small / Caribbean micro-importer,205.3,
Trinidad and Tobago,Small / Caribbean micro-importer,198.1,
Bahamas,Small / Caribbean micro-importer,69.3,
Barbados,Small / Caribbean micro-importer,47.3,
Guyana,Small / Caribbean micro-importer,34.5,
Belize,Small / Caribbean micro-importer,17.3,
Suriname,Small / Caribbean micro-importer,15.4,
Grenada,Small / Caribbean micro-importer,9.3,
Antigua and Barbuda,Small / Caribbean micro-importer,9.2,
Saint Vincent and the Grenadines,Small / Caribbean micro-importer,6.0,
Dominica,Small / Caribbean micro-importer,5.3,
