hs6,group,name,source
291462,API,"Coenzyme Q10 ""ubidecarenone (INN)""","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291469,API,"Quinones (excl. anthraquinone and coenzyme Q10 ""ubidecarenone (INN)"")","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291639,API,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291821,API,Salicylic Acid And Its Salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291822,API,"o-Acetylsalicylic acid, its salts and esters","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291823,API,"Esters of salicylic acid and their salts (excl. o-acetylsalicylic acid, its salts and este","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
291899,API,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides ","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292146,API,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfam","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292149,API,"Aromatic monoamines and derivatives; salts thereof (excl. aniline, toluidines, diphenylami","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292214,API,Dextropropoxyphene (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292219,API,"Amino-alcohols, their ethers and esters; salts thereof (other than those containing > one ","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292229,API,"Amino-naphthols and other amino-phenols, their ethers and esters; salts thereof (excl. tho","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292231,API,"Amfepramone (INN), methadone (INN) and normethadone (INN), and salts thereof","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292241,API,Lysine and its esters; salts thereof,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292244,API,Tilidine (INN) and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292249,API,Amino-acids and their esters; salts thereof (excl. those with > one kind of oxygen functio,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292250,API,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292320,API,"Lecithins and other phosphoaminolipids, whether or not chemically defined","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292411,API,Meprobamate (INN),"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292424,API,Ethinamate (INN),"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292429,API,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excl. ureine","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292512,API,Glutethimide (INN),"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292529,API,Imines and their derivatives; salts thereof (excl. chlordimeform (ISO)),"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
292630,API,"Fenproporex (INN) and its salts; methadone (INN)-intermediate ""4-cyano-2-dimethylamino-4,4","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293190,API,"Separate chemically defined organo-inorganic compounds (excl. organo-sulphur, mercury,","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293220,API,Lactones,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293311,API,"Phenazone ""antipyrin"" and its derivatives","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293319,API,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole r","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293321,API,Hydantoin and its derivatives,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293329,API,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293331,API,Pyridine and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293332,API,Piperidine and its salts,"EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293333,API,"Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN),","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
293339,API,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine r","EFPIA 2024 EU27 pharma supply-chain, Annex 3"
