iso3,indicator,year
BRA,imp_hs30,2024
BRA,exp_hs30,2024
MEX,imp_hs30,2024
MEX,exp_hs30,2024
COL,imp_hs30,2024
COL,exp_hs30,2024
ARG,imp_hs30,2024
ARG,exp_hs30,2024
CHL,imp_hs30,2024
CHL,exp_hs30,2024
PER,imp_hs30,2024
PER,exp_hs30,2024
ECU,imp_hs30,2024
ECU,exp_hs30,2024
CRI,imp_hs30,2024
CRI,exp_hs30,2024
GTM,imp_hs30,2024
GTM,exp_hs30,2024
DOM,imp_hs30,2024
DOM,exp_hs30,2024
PAN,imp_hs30,2024
PAN,exp_hs30,2024
HND,imp_hs30,2024
HND,exp_hs30,2024
SLV,imp_hs30,2024
SLV,exp_hs30,2024
NIC,imp_hs30,2024
NIC,exp_hs30,2024
PRY,imp_hs30,2024
PRY,exp_hs30,2024
URY,imp_hs30,2024
URY,exp_hs30,2024
BOL,imp_hs30,2024
BOL,exp_hs30,2024
JAM,imp_hs30,2024
JAM,exp_hs30,2024
TTO,imp_hs30,2024
TTO,exp_hs30,2024
BHS,imp_hs30,2024
BHS,exp_hs30,2024
BRB,imp_hs30,2024
BRB,exp_hs30,2024
GUY,imp_hs30,2024
GUY,exp_hs30,2024
BLZ,imp_hs30,2024
BLZ,exp_hs30,2024
SUR,imp_hs30,2024
SUR,exp_hs30,2024
GRD,imp_hs30,2024
GRD,exp_hs30,2024
ATG,imp_hs30,2024
ATG,exp_hs30,2024
DMA,imp_hs30,2023
DMA,exp_hs30,2023
VCT,imp_hs30,2023
