iso3,country,hs30_world_usd,intra_lac_share,extra_regional_share,usd_per_kg
BRA,Brazil,12587924236,0.0251,0.9749,206.2
MEX,Mexico,6456577591,0.0457,0.9543,202.3
COL,Colombia,3855610294,0.1267,0.8733,150.9
ARG,Argentina,2486880726,0.0632,0.9368,100.0
CHL,Chile,2351159117,0.1245,0.8755,37.1
CRI,Costa Rica,1122112894,0.244,0.756,71.4
GTM,Guatemala,1120442042,0.3655,0.6345,15.6
DOM,Dominican Rep,1013110797,0.292,0.708,694.6
SLV,El Salvador,646245002,0.4297,0.5703,23.8
URY,Uruguay,426358333,0.2807,0.7193,39.0
