country,vintage,total_imports_musd,extra_regional_musd,extra_regional_pct,partners_reporting,note
Venezuela,2024,299.5,209.9,70,56,split over top-50 partners; true imports likely under-captured (opacity/transshipment)
Cuba,2024,69.9,27.5,39,38,true imports likely under-captured (sanctions/opacity)
Haiti,2024,35.7,31.9,89,36,
Saint Lucia,2024,8.4,3.9,47,21,
Saint Kitts and Nevis,2024,4.7,2.7,57,19,
Venezuela,2023,248.1,170.5,69,51,
Cuba,2023,63.1,28.0,44,39,
Haiti,2023,65.5,62.5,95,38,
Saint Lucia,2023,7.6,3.9,51,26,
Saint Kitts and Nevis,2023,3.8,1.9,52,22,
