iso3,country,imp_hs30_usd,exp_hs30_usd
BRA,Brazil,11244376560,1237328619
MEX,Mexico,7727470135,2340401865
COL,Colombia,3659663546,434541757
ARG,Argentina,2601489354,916344211
CHL,Chile,2248611913,203631989
ECU,Ecuador,1331742281,34013145
PER,Peru,1088132939,109459486
DOM,Dominican Republic,1054120858,605393509
CRI,Costa Rica,1037178242,412509844
GTM,Guatemala,991227648,398184451
HND,Honduras,771162024,35998747
PAN,Panama,752007283,54283137
SLV,El Salvador,580668717,182676552
NIC,Nicaragua,501178540,19392685
PRY,Paraguay,485805585,73707557
URY,Uruguay,380411487,174198359
BOL,Bolivia,246060888,3095028
JAM,Jamaica,197666346,7306785
TTO,Trinidad and Tobago,167672083,3673447
BHS,Bahamas,70162788,273816
BRB,Barbados,45951340,29650136
GUY,Guyana,29461167,4577055
BLZ,Belize,18244377,659885
SUR,Suriname,15039462,34628
ATG,Antigua and Barbuda,11580501,419220
GRD,Grenada,10412335,8439
VCT,Saint Vincent and the Grenadines,5982481,
DMA,Dominica,5282570,9556
