iso3,country,extra_share_value,extra_share_mass,intra_share_value,intra_share_mass,uv_extra_usd_kg,uv_intra_usd_kg,mass_coverage
BRA,Brazil,0.975,0.794,0.025,0.206,253.1,25.2,1.0
MEX,Mexico,0.954,0.954,0.046,0.046,80.4,80.2,0.94
ARG,Argentina,0.937,0.469,0.063,0.531,191.9,11.5,0.99
CHL,Chile,0.875,0.49,0.125,0.51,66.3,9.1,1.0
COL,Colombia,0.873,0.462,0.127,0.538,47.5,5.9,0.99
CRI,Costa Rica,0.756,0.443,0.244,0.557,121.3,31.1,1.0
URY,Uruguay,0.719,0.2,0.281,0.8,140.1,13.7,1.0
DOM,Dominican Rep,0.708,0.616,0.292,0.384,47.6,31.5,0.93
GTM,Guatemala,0.634,0.192,0.366,0.808,51.6,7.0,1.0
SLV,El Salvador,0.57,0.213,0.43,0.787,63.7,13.0,1.0
