iso3,imp_usd,extra_usd,intra_usd,total_kg,extra_kg,intra_kg,extra_share_value,extra_share_mass,uv_extra_usd_kg,uv_intra_usd_kg,mass_coverage
BRA,12587924236,12271912161,316012075,61055274,48491095,12564178,0.9749,0.7942,253.1,25.2,1.0
MEX,6456577591,6161343888,295233703,80313672,76631693,3681979,0.9543,0.9542,80.4,80.2,0.942
COL,3855610294,3367125853,488484442,153518452,70941056,82577396,0.8733,0.4621,47.5,5.9,0.991
ARG,2486880726,2329693161,157187565,25864338,12139634,13724704,0.9368,0.4694,191.9,11.5,0.992
CHL,2351159117,2058326242,292832875,63345547,31054765,32290782,0.8755,0.4902,66.3,9.1,1.0
CRI,1122112894,848314876,273798018,15784228,6993430,8790798,0.756,0.4431,121.3,31.1,1.0
GTM,1120442042,710870586,409571456,71967974,13785346,58182628,0.6345,0.1915,51.6,7.0,1.0
DOM,1013110797,717277530,295833267,24484159,15083827,9400332,0.708,0.6161,47.6,31.5,0.93
SLV,646245002,368551034,277693967,27106399,5786630,21319769,0.5703,0.2135,63.7,13.0,1.0
URY,426358333,306670844,119687489,10923621,2189542,8734080,0.7193,0.2004,140.1,13.7,1.0
