Country,Archetype,RCA (HS30),Imports (US$m),Exports (US$m)
Brazil,"Large Domestic Market (Net Importer, Low Export Edge)",0.09,12588,1214
Mexico,"Large Domestic Market (Net Importer, Low Export Edge)",0.11,8817,2740
Colombia,"Large Domestic Market (Net Importer, Low Export Edge)",0.2,3856,396
Argentina,"Large Domestic Market (Net Importer, Low Export Edge)",0.27,2487,865
Chile,"Large Domestic Market (Net Importer, Low Export Edge)",0.05,2351,180
Ecuador,Mid-Market Importer,n/a,1189,29
Peru,Mid-Market Importer,0.03,1143,98
Costa Rica,Export-Oriented Formulator,0.57,1122,452
Guatemala,Export-Oriented Formulator,0.72,1120,424
Dominican Republic,Specialized Exporter (Free-Zone Hub),1.04,1013,535
Panama,Mid-Market Importer,n/a,825,34
Honduras,Mid-Market Importer,n/a,757,47
El Salvador,Export-Oriented Formulator,0.7,646,176
Nicaragua,Mid-Market Importer,n/a,551,13
Paraguay,Mid-Market Importer,n/a,462,75
Uruguay,Export-Oriented Formulator,0.48,426,198
Bolivia,Mid-Market Importer,n/a,254,2
Jamaica,Small / Caribbean Micro-Importer,n/a,205,8
Trinidad and Tobago,Small / Caribbean Micro-Importer,n/a,198,3
Bahamas,Small / Caribbean Micro-Importer,n/a,69,0
Barbados,Small / Caribbean Micro-Importer,n/a,47,30
Guyana,Small / Caribbean Micro-Importer,n/a,34,6
Belize,Small / Caribbean Micro-Importer,n/a,17,1
Suriname,Small / Caribbean Micro-Importer,n/a,15,0
Grenada,Small / Caribbean Micro-Importer,n/a,9,0
Antigua and Barbuda,Small / Caribbean Micro-Importer,n/a,9,0
Saint Vincent and the Grenadines,Small / Caribbean Micro-Importer,n/a,6,0
Dominica,Small / Caribbean Micro-Importer,n/a,5,0
Cuba,Data-Opaque / Non-Reporter,n/a,0,0
Haiti,Data-Opaque / Non-Reporter,n/a,0,0
Venezuela,Data-Opaque / Non-Reporter,n/a,0,0
Saint Lucia,Data-Opaque / Non-Reporter,n/a,0,0
Saint Kitts and Nevis,Data-Opaque / Non-Reporter,n/a,0,0
