iso3,country,exp_hs30,imp_hs30
ARG,ARG,2024,2024
BOL,BOL,2024,2024
BRA,BRA,2024,2024
CHL,CHL,2024,2024
COL,COL,2024,2024
CRI,CRI,2024,2024
CUB,CUB,,
DOM,DOM,2024,2024
ECU,ECU,2024,2024
SLV,SLV,2024,2024
GTM,GTM,2024,2024
GUY,GUY,2024,2024
HTI,HTI,,
HND,HND,2024,2024
JAM,JAM,2024,2024
MEX,MEX,2024,2024
NIC,NIC,2024,2024
PAN,PAN,2024,2024
PRY,PRY,2024,2024
PER,PER,2024,2024
SUR,SUR,2024,2024
URY,URY,2024,2024
VEN,VEN,,
BLZ,BLZ,2024,2024
BHS,BHS,2024,2024
BRB,BRB,2024,2024
TTO,TTO,2024,2024
ATG,ATG,2024,2024
DMA,DMA,2023,2023
GRD,GRD,2024,2024
LCA,LCA,,
VCT,VCT,,2023
KNA,KNA,,
