Country,exp_hs30,imp_hs30
ARG,✓ 2024,✓ 2024
BOL,✓ 2024,✓ 2024
BRA,✓ 2024,✓ 2024
CHL,✓ 2024,✓ 2024
COL,✓ 2024,✓ 2024
CRI,✓ 2024,✓ 2024
CUB,—,—
DOM,✓ 2024,✓ 2024
ECU,✓ 2024,✓ 2024
SLV,✓ 2024,✓ 2024
GTM,✓ 2024,✓ 2024
GUY,✓ 2024,✓ 2024
HTI,—,—
HND,✓ 2024,✓ 2024
JAM,✓ 2024,✓ 2024
MEX,✓ 2024,✓ 2024
NIC,✓ 2024,✓ 2024
PAN,✓ 2024,✓ 2024
PRY,✓ 2024,✓ 2024
PER,✓ 2024,✓ 2024
SUR,✓ 2024,✓ 2024
URY,✓ 2024,✓ 2024
VEN,—,—
BLZ,✓ 2024,✓ 2024
BHS,✓ 2024,✓ 2024
BRB,✓ 2024,✓ 2024
TTO,✓ 2024,✓ 2024
ATG,✓ 2024,✓ 2024
DMA,✓ 2023,✓ 2023
GRD,✓ 2024,✓ 2024
LCA,—,—
VCT,—,✓ 2023
KNA,—,—
